Edition,Year,Host City,Country,Events
1,1970,Tokyo,JPN 1947,2
2,1972,Paris,France,2
3,1975,Long Beach,United States,2
4,1977,Tokyo,JPN 1947,2
5,1980,Madrid,ESP 1977,10
6,1982,Taipei,Chinese Taipei,13
7,1984,Maastricht,,13
8,1986,Sydney,Australia,15
9,1988,Cairo,Egypt,16
10,1990,Mexico City,Mexico,16
11,1992,Granada,Spain,16
12,1994,Kota Kinabalu,,16
13,1996,Sun City,,17
14,1998,Rio de Janeiro,Brazil,17
15,2000,Munich,,17
16,2002,Madrid,Spain,17
17,2004,Monterrey,Mexico,17
18,2006,Tampere,Finland,17
19,2008,Tokyo,Japan,17
20,2010,Belgrade,SRB 2004,16
21,2012,Paris,France,16
22,2014,Bremen,,16
23,2016,Linz,Austria,16
24,2018,Madrid,Spain,16
25,2021,Dubai,,16
26,2023,Budapest,Hungary,16
